SPG11,"SPG11 Vesicle Trafficking Associated, Spatacsin",Protein Coding,Q96JI7,47,GC15M044562,0.720789074897766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPG11,,,,,,,,,,,,,,,,,,
CYP39A1,Cytochrome P450 Family 39 Subfamily A Member 1,Protein Coding,Q9NYL5,45,GC06M046549,0.720789074897766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP39A1,,,,,,,,,,,,,,,,,,
BRCA2,BRCA2 DNA Repair Associated,Protein Coding,P51587,54,GC13P032315,0.584412634372711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2,,,,,,,,,,,,,,,,,,
CDKN2B-AS1,CDKN2B Antisense RNA 1,RNA Gene,,26,GC09P021994,0.506116211414337,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1,,,,,,,,,,,,,,,,,,
ABCG2,ATP Binding Cassette Subfamily G Member 2 (Junior Blood Group),Protein Coding,Q9UNQ0,56,GC04M088090,0.462018758058548,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2,,,,,,,,,,,,,,,,,,
HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,P11021,56,GC09M125234,0.413242161273956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5,,,,,,,,,,,,,,,,,,
LRP8,LDL Receptor Related Protein 8,Protein Coding,Q14114,49,GC01M053243,0.413242161273956,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP8,,,,,,,,,,,,,,,,,,
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,P37231,60,GC03P012287,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG,,,,,,,,,,,,,,,,,,
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,57,GC17M043044,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1,,,,,,,,,,,,,,,,,,
MLH1,MutL Homolog 1,Protein Coding,P40692,56,GC03P036993,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1,,,,,,,,,,,,,,,,,,
MSH2,MutS Homolog 2,Protein Coding,P43246,56,GC02P047403,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2,,,,,,,,,,,,,,,,,,
CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,P13500,55,GC17P034255,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2,,,,,,,,,,,,,,,,,,
ABCC8,ATP Binding Cassette Subfamily C Member 8,Protein Coding,Q09428,53,GC11M017392,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8,,,,,,,,,,,,,,,,,,
HNF1A,HNF1 Homeobox A,Protein Coding,P20823,53,GC12P120978,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A,,,,,,,,,,,,,,,,,,
HFE,Homeostatic Iron Regulator,Protein Coding,Q30201,52,GC06P026087,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE,,,,,,,,,,,,,,,,,,
ABCA2,ATP Binding Cassette Subfamily A Member 2,Protein Coding,Q9BZC7,48,GC09M137007,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA2,,,,,,,,,,,,,,,,,,
LIPG,"Lipase G, Endothelial Type",Protein Coding,Q9Y5X9,48,GC18P049560,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG,,,,,,,,,,,,,,,,,,
GCKR,Glucokinase Regulator,Protein Coding,Q14397,47,GC02P027496,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCKR,,,,,,,,,,,,,,,,,,
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene,,14,GC08P056088,0.3578782081604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3,,,,,,,,,,,,,,,,,,
TP53,Tumor Protein P53,Protein Coding,P04637,60,GC17M007661,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53,,,,,,,,,,,,,,,,,,
ELANE,"Elastase, Neutrophil Expressed",Protein Coding,P08246,58,GC19P005575,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE,,,,,,,,,,,,,,,,,,
KCNH2,Potassium Voltage-Gated Channel Subfamily H Member 2,Protein Coding,Q12809,57,GC07M150944,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH2,,,,,,,,,,,,,,,,,,
SCN5A,Sodium Voltage-Gated Channel Alpha Subunit 5,Protein Coding,Q14524,57,GC03M038560,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN5A,,,,,,,,,,,,,,,,,,
UGT1A1,UDP Glucuronosyltransferase Family 1 Member A1,Protein Coding,P22309,57,GC02P233760,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1,,,,,,,,,,,,,,,,,,
PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,P54278,56,GC07M005973,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2,,,,,,,,,,,,,,,,,,
ABCC2,ATP Binding Cassette Subfamily C Member 2,Protein Coding,Q92887,54,GC10P099782,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2,,,,,,,,,,,,,,,,,,
HSP90B1,Heat Shock Protein 90 Beta Family Member 1,Protein Coding,P14625,54,GC12P103930,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90B1,,,,,,,,,,,,,,,,,,
KNG1,Kininogen 1,Protein Coding,P01042,54,GC03P186717,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1,,,,,,,,,,,,,,,,,,
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,Q9UBK2,54,GC04M023755,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A,,,,,,,,,,,,,,,,,,
C2,Complement C2,Protein Coding,P06681,53,GC06P031897,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2,,,,,,,,,,,,,,,,,,
CD81,CD81 Molecule,Protein Coding,P60033,53,GC11P002963,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD81,,,,,,,,,,,,,,,,,,
FMO3,Flavin Containing Dimethylaniline Monoxygenase 3,Protein Coding,P31513,53,GC01P171090,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMO3,,,,,,,,,,,,,,,,,,
MYH7,Myosin Heavy Chain 7,Protein Coding,P12883,53,GC14M023412,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7,,,,,,,,,,,,,,,,,,
RYR2,Ryanodine Receptor 2,Protein Coding,Q92736,53,GC01P237042,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR2,,,,,,,,,,,,,,,,,,
WRN,WRN RecQ Like Helicase,Protein Coding,Q14191,53,GC08P031033,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN,,,,,,,,,,,,,,,,,,
CANX,Calnexin,Protein Coding,P27824,52,GC05P179678,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANX,,,,,,,,,,,,,,,,,,
CYP2C9,Cytochrome P450 Family 2 Subfamily C Member 9,Protein Coding,P11712,52,GC10P094938,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9,,,,,,,,,,,,,,,,,,
CYP2D6,Cytochrome P450 Family 2 Subfamily D Member 6,Protein Coding,P10635,52,GC22M042126,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6,,,,,,,,,,,,,,,,,,
F3,"Coagulation Factor III, Tissue Factor",Protein Coding,P13726,52,GC01M094703,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3,,,,,,,,,,,,,,,,,,
GALNT2,Polypeptide N-Acetylgalactosaminyltransferase 2,Protein Coding,Q10471,52,GC01P230057,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT2,,,,,,,,,,,,,,,,,,
MUTYH,MutY DNA Glycosylase,Protein Coding,Q9UIF7,52,GC01M045329,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH,,,,,,,,,,,,,,,,,,
SELP,Selectin P,Protein Coding,P16109,52,GC01M169558,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP,,,,,,,,,,,,,,,,,,
SLCO1B3,Solute Carrier Organic Anion Transporter Family Member 1B3,Protein Coding,Q9NPD5,52,GC12P020810,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B3,,,,,,,,,,,,,,,,,,
CYP3A5,Cytochrome P450 Family 3 Subfamily A Member 5,Protein Coding,P20815,51,GC07M099648,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A5,,,,,,,,,,,,,,,,,,
ACAA2,Acetyl-CoA Acyltransferase 2,Protein Coding,P42765,50,GC18M049782,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA2,,,,,,,,,,,,,,,,,,
CCL5,C-C Motif Chemokine Ligand 5,Protein Coding,P13501,50,GC17M035871,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5,,,,,,,,,,,,,,,,,,
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,Protein Coding,P33261,50,GC10P094762,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C19,,,,,,,,,,,,,,,,,,
LRPAP1,LDL Receptor Related Protein Associated Protein 1,Protein Coding,P30533,50,GC04M003508,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPAP1,,,,,,,,,,,,,,,,,,
MLXIPL,MLX Interacting Protein Like,Protein Coding,Q9NP71,50,GC07M073593,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL,,,,,,,,,,,,,,,,,,
SLC10A1,Solute Carrier Family 10 Member 1,Protein Coding,Q14973,50,GC14M069775,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A1,,,,,,,,,,,,,,,,,,
SLC22A1,Solute Carrier Family 22 Member 1,Protein Coding,O15245,50,GC06P160121,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A1,,,,,,,,,,,,,,,,,,
SLC22A2,Solute Carrier Family 22 Member 2,Protein Coding,O15244,50,GC06M160207,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A2,,,,,,,,,,,,,,,,,,
SLCO2B1,Solute Carrier Organic Anion Transporter Family Member 2B1,Protein Coding,O94956,50,GC11P079379,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2B1,,,,,,,,,,,,,,,,,,
UGT2B7,UDP Glucuronosyltransferase Family 2 Member B7,Protein Coding,P16662,50,GC04P069051,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B7,,,,,,,,,,,,,,,,,,
DGAT2,Diacylglycerol O-Acyltransferase 2,Protein Coding,Q96PD7,49,GC11P075759,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT2,,,,,,,,,,,,,,,,,,
NCAN,Neurocan,Protein Coding,O14594,49,GC19P082854,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAN,,,,,,,,,,,,,,,,,,
UCP3,Uncoupling Protein 3,Protein Coding,P55916,49,GC11M074000,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP3,,,,,,,,,,,,,,,,,,
UGT1A6,UDP Glucuronosyltransferase Family 1 Member A6,Protein Coding,P19224,49,GC02P233691,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A6,,,,,,,,,,,,,,,,,,
CELSR2,Cadherin EGF LAG Seven-Pass G-Type Receptor 2,Protein Coding,Q9HCU4,48,GC01P109250,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR2,,,,,,,,,,,,,,,,,,
NAT2,N-Acetyltransferase 2,Protein Coding,P11245,48,GC08P018391,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT2,,,,,,,,,,,,,,,,,,
PDIA4,Protein Disulfide Isomerase Family A Member 4,Protein Coding,P13667,48,GC07M149003,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA4,,,,,,,,,,,,,,,,,,
ACSM1,Acyl-CoA Synthetase Medium Chain Family Member 1,Protein Coding,Q08AH1,46,GC16M020634,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM1,,,,,,,,,,,,,,,,,,
CXCL5,C-X-C Motif Chemokine Ligand 5,Protein Coding,P42830,46,GC04M073995,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5,,,,,,,,,,,,,,,,,,
CXCL6,C-X-C Motif Chemokine Ligand 6,Protein Coding,P80162,46,GC04P073837,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL6,,,,,,,,,,,,,,,,,,
TBL2,Transducin Beta Like 2,Protein Coding,Q9Y4P3,46,GC07M074105,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL2,,,,,,,,,,,,,,,,,,
ACSM3,Acyl-CoA Synthetase Medium Chain Family Member 3,Protein Coding,Q53FZ2,45,GC16P020610,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM3,,,,,,,,,,,,,,,,,,
KIF6,Kinesin Family Member 6,Protein Coding,Q6ZMV9,44,GC06M081080,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF6,,,,,,,,,,,,,,,,,,
CILP2,Cartilage Intermediate Layer Protein 2,Protein Coding,Q8IUL8,43,GC19P019538,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CILP2,,,,,,,,,,,,,,,,,,
ICAM4,Intercellular Adhesion Molecule 4 (Landsteiner-Wiener Blood Group),Protein Coding,Q14773,43,GC19P010286,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM4,,,,,,,,,,,,,,,,,,
PBX4,PBX Homeobox 4,Protein Coding,Q9BYU1,42,GC19M019561,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX4,,,,,,,,,,,,,,,,,,
ACSM2B,Acyl-CoA Synthetase Medium Chain Family Member 2B,Protein Coding,Q68CK6,41,GC16M020547,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM2B,,,,,,,,,,,,,,,,,,
LINC01672,Long Intergenic Non-Protein Coding RNA 1672,RNA Gene,,14,GC01P007077,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672,,,,,,,,,,,,,,,,,,
CYP3A51P,"Cytochrome P450 Family 3 Subfamily A Member 51, Pseudogene",Pseudogene,,10,GC07M099685,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A51P,,,,,,,,,,,,,,,,,,
LOC126861898,BRD4-Independent Group 4 Enhancer GRCh37_chr14:23893609-23894808,Functional Element,,4,GC14P039033,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126861898,,,,,,,,,,,,,,,,,,
LOC126862571,BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335,Functional Element,,4,GC17P080721,0.292206317186356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571,,,,,,,,,,,,,,,,,,
RET,Ret Proto-Oncogene,Protein Coding,P07949,61,GC10P043402,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET,,,,,,,,,,,,,,,,,,
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,60,GC22M021759,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1,,,,,,,,,,,,,,,,,,
CAT,Catalase,Protein Coding,P04040,58,GC11P034460,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT,,,,,,,,,,,,,,,,,,
CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,58,GC07P117287,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR,,,,,,,,,,,,,,,,,,
PROC,"Protein C, Inactivator Of Coagulation Factors Va And VIIIa",Protein Coding,P04070,58,GC02P127418,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROC,,,,,,,,,,,,,,,,,,
DSP,Desmoplakin,Protein Coding,P15924,57,GC06P007541,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP,,,,,,,,,,,,,,,,,,
ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,P05362,57,GC19P011104,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1,,,,,,,,,,,,,,,,,,
IFNG,Interferon Gamma,Protein Coding,P01579,57,GC12M068154,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG,,,,,,,,,,,,,,,,,,
IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,P01589,57,GC10M006010,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA,,,,,,,,,,,,,,,,,,
IL2RB,Interleukin 2 Receptor Subunit Beta,Protein Coding,P14784,57,GC22M068173,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB,,,,,,,,,,,,,,,,,,
KCNQ1,Potassium Voltage-Gated Channel Subfamily Q Member 1,Protein Coding,P51787,57,GC11P002444,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1,,,,,,,,,,,,,,,,,,
RARA,Retinoic Acid Receptor Alpha,Protein Coding,P10276,57,GC17P040309,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARA,,,,,,,,,,,,,,,,,,
SERPINC1,Serpin Family C Member 1,Protein Coding,P01008,57,GC01M174774,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1,,,,,,,,,,,,,,,,,,
TSC2,TSC Complex Subunit 2,Protein Coding,P49815,57,GC16P045943,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2,,,,,,,,,,,,,,,,,,
APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,P25054,56,GC05P112707,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC,,,,,,,,,,,,,,,,,,
CACNA1S,Calcium Voltage-Gated Channel Subunit Alpha1 S,Protein Coding,Q13698,56,GC01M201008,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1S,,,,,,,,,,,,,,,,,,
GAA,Alpha Glucosidase,Protein Coding,P10253,56,GC17P080101,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA,,,,,,,,,,,,,,,,,,
GCK,Glucokinase,Protein Coding,P35557,56,GC07M044807,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK,,,,,,,,,,,,,,,,,,
MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,P53779,56,GC04M085990,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10,,,,,,,,,,,,,,,,,,
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,56,GC16M040839,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3,,,,,,,,,,,,,,,,,,
NF2,"NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor",Protein Coding,P35240,56,GC22P029603,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2,,,,,,,,,,,,,,,,,,
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,56,GC06P043770,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA,,,,,,,,,,,,,,,,,,
RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,55,GC13P048303,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1,,,,,,,,,,,,,,,,,,
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,P21912,55,GC01M018664,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB,,,,,,,,,,,,,,,,,,
TTR,Transthyretin,Protein Coding,P02766,55,GC18P031557,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR,,,,,,,,,,,,,,,,,,
COL3A1,Collagen Type III Alpha 1 Chain,Protein Coding,P02461,54,GC02P188974,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1,,,,,,,,,,,,,,,,,,
EXT1,Exostosin Glycosyltransferase 1,Protein Coding,Q16394,54,GC08M117798,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT1,,,,,,,,,,,,,,,,,,
FAH,Fumarylacetoacetate Hydrolase,Protein Coding,P16930,54,GC15P080152,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAH,,,,,,,,,,,,,,,,,,
FBN1,Fibrillin 1,Protein Coding,P35555,54,GC15M048408,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1,,,,,,,,,,,,,,,,,,
IL1B,Interleukin 1 Beta,Protein Coding,P01584,54,GC02M112829,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B,,,,,,,,,,,,,,,,,,
LPIN1,Lipin 1,Protein Coding,Q14693,54,GC02P011677,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPIN1,,,,,,,,,,,,,,,,,,
MTR,5-Methyltetrahydrofolate-Homocysteine Methyltransferase,Protein Coding,Q99707,54,GC01P236795,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTR,,,,,,,,,,,,,,,,,,
PAH,Phenylalanine Hydroxylase,Protein Coding,P00439,54,GC12M102836,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAH,,,,,,,,,,,,,,,,,,
RPL5,Ribosomal Protein L5,Protein Coding,P46777,54,GC01P092832,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL5,,,,,,,,,,,,,,,,,,
RYR1,Ryanodine Receptor 1,Protein Coding,P21817,54,GC19P083224,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1,,,,,,,,,,,,,,,,,,
TSC1,TSC Complex Subunit 1,Protein Coding,Q92574,54,GC09M132891,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1,,,,,,,,,,,,,,,,,,
VHL,Von Hippel-Lindau Tumor Suppressor,Protein Coding,P40337,54,GC03P014626,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL,,,,,,,,,,,,,,,,,,
AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,Q15109,53,GC06M032180,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER,,,,,,,,,,,,,,,,,,
HEXA,Hexosaminidase Subunit Alpha,Protein Coding,P06865,53,GC15M072340,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXA,,,,,,,,,,,,,,,,,,
MYBPC3,Myosin Binding Protein C3,Protein Coding,Q14896,53,GC11M108877,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBPC3,,,,,,,,,,,,,,,,,,
MYH11,Myosin Heavy Chain 11,Protein Coding,P35749,53,GC16M016248,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH11,,,,,,,,,,,,,,,,,,
PDX1,Pancreatic And Duodenal Homeobox 1,Protein Coding,P52945,53,GC13P027921,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDX1,,,,,,,,,,,,,,,,,,
THBD,Thrombomodulin,Protein Coding,P07204,53,GC20M023026,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD,,,,,,,,,,,,,,,,,,
A2M,Alpha-2-Macroglobulin,Protein Coding,P01023,52,GC12M009067,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M,,,,,,,,,,,,,,,,,,
CEL,Carboxyl Ester Lipase,Protein Coding,P19835,52,GC09P133061,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL,,,,,,,,,,,,,,,,,,
DSC2,Desmocollin 2,Protein Coding,Q02487,52,GC18M031058,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSC2,,,,,,,,,,,,,,,,,,
MYL3,Myosin Light Chain 3,Protein Coding,P08590,52,GC03M046836,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL3,,,,,,,,,,,,,,,,,,
PABPN1,Poly(A) Binding Protein Nuclear 1,Protein Coding,Q86U42,52,GC14P039533,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPN1,,,,,,,,,,,,,,,,,,
CHI3L1,Chitinase 3 Like 1,Protein Coding,P36222,51,GC01M203148,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1,,,,,,,,,,,,,,,,,,
CSF1,Colony Stimulating Factor 1,Protein Coding,P09603,51,GC01P109911,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1,,,,,,,,,,,,,,,,,,
GPD1,Glycerol-3-Phosphate Dehydrogenase 1,Protein Coding,P21695,51,GC12P050528,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD1,,,,,,,,,,,,,,,,,,
MEN1,Menin 1,Protein Coding,O00255,51,GC11M064803,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1,,,,,,,,,,,,,,,,,,
PKP2,Plakophilin 2,Protein Coding,Q99959,51,GC12M032790,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2,,,,,,,,,,,,,,,,,,
BSCL2,"BSCL2 Lipid Droplet Biogenesis Associated, Seipin",Protein Coding,Q96G97,50,GC11M109101,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSCL2,,,,,,,,,,,,,,,,,,
C4A,Complement C4A (Rodgers Blood Group),Protein Coding,P0C0L4,50,GC06P104121,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A,,,,,,,,,,,,,,,,,,
CHIT1,Chitinase 1,Protein Coding,Q13231,50,GC01M203213,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHIT1,,,,,,,,,,,,,,,,,,
CXCR3,C-X-C Motif Chemokine Receptor 3,Protein Coding,P49682,50,GC0XM071615,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3,,,,,,,,,,,,,,,,,,
DNASE1,Deoxyribonuclease 1,Protein Coding,P24855,50,GC16P003611,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1,,,,,,,,,,,,,,,,,,
LZTR1,Leucine Zipper Like Post Translational Regulator 1,Protein Coding,Q8N653,50,GC22P051848,0.206621080636978,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1,,,,,,,,,,,,,,,,,,
